Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Bronx,All Students,2015,4 year August,13891,9752,70.2,8446,60.8,86.6,1579,11.4,16.2,6867,49.4,70.4,1306,9.4,13.4,2124,15.3,1759,12.7,80,0.6,175,1.3
Bronx,All Students,2014,4 year August,13951,9398,67.4,8246,59.1,87.7,1584,11.4,16.9,6662,47.8,70.9,1152,8.3,12.3,2632,18.9,1693,12.1,64,0.5,164,1.2
Bronx,All Students,2013,4 year August,13730,9102,66.3,8105,59,89,1548,11.3,17,6557,47.8,72,997,7.3,11,2742,20,1606,11.7,118,0.9,151,1.1
Bronx,All Students,2012,4 year August,13838,8985,64.9,8149,58.9,90.7,1505,10.9,16.8,6644,48,73.9,836,6,9.3,2876,20.8,1757,12.7,100,0.7,110,0.8
Bronx,All Students,2011,4 year August,14278,8821,61.8,8073,56.5,91.5,1494,10.5,16.9,6579,46.1,74.6,748,5.2,8.5,3243,22.7,1866,13.1,207,1.4,126,0.9
Bronx,All Students,2010,4 year August,14229,8405,59.1,7695,54.1,91.6,1475,10.4,17.5,6220,43.7,74,710,5,8.4,3418,24,2013,14.1,240,1.7,144,1
Bronx,All Students,2009,4 year August,15149,8712,57.5,8065,53.2,92.6,1580,10.4,18.1,6485,42.8,74.4,647,4.3,7.4,3637,24,2336,15.4,273,1.8,183,1.2
Bronx,All Students,2008,4 year August,15599,8647,55.4,8045,51.6,93,1557,10,18,6488,41.6,75,602,3.9,7,3921,25.1,2443,15.7,354,2.3,217,1.4
Bronx,All Students,2007,4 year August,15987,9194,57.5,7297,45.6,79.4,1587,9.9,17.3,5710,35.7,62.1,1897,11.9,20.6,3624,22.7,2501,15.6,340,2.1,298,1.9
Bronx,All Students,2006,4 year August,15579,9215,59.2,6605,42.4,71.7,1572,10.1,17.1,5033,32.3,54.6,2610,16.8,28.3,3160,20.3,2375,15.2,411,2.6,407,2.6
Bronx,All Students,2005,4 year August,15175,8805,58,5810,38.3,66,1549,10.2,17.6,4261,28.1,48.4,2995,19.7,34,3368,22.2,2147,14.1,410,2.7,445,2.9
Bronx,All Students,2015,4 year June,13891,9203,66.3,8067,58.1,87.7,1575,11.3,17.1,6492,46.7,70.5,1136,8.2,12.3,2655,19.1,1776,12.8,81,0.6,175,1.3
Bronx,All Students,2014,4 year June,13951,8864,63.5,7886,56.5,89,1580,11.3,17.8,6306,45.2,71.1,978,7,11,3161,22.7,1693,12.1,69,0.5,164,1.2
Bronx,All Students,2013,4 year June,13730,8638,62.9,7770,56.6,90,1544,11.2,17.9,6226,45.3,72.1,868,6.3,10,3198,23.3,1606,11.7,126,0.9,151,1.1
Bronx,All Students,2012,4 year June,13838,8581,62,7853,56.7,91.5,1503,10.9,17.5,6350,45.9,74,728,5.3,8.5,3278,23.7,1757,12.7,102,0.7,110,0.8
Bronx,All Students,2011,4 year June,14278,8324,58.3,7701,53.9,92.5,1491,10.4,17.9,6210,43.5,74.6,623,4.4,7.5,3733,26.1,1866,13.1,214,1.5,126,0.9
Bronx,All Students,2010,4 year June,14229,7781,54.7,7179,50.5,92.3,1461,10.3,18.8,5718,40.2,73.5,602,4.2,7.7,4040,28.4,2013,14.1,242,1.7,144,1
Bronx,All Students,2009,4 year June,15149,7930,52.3,7420,49,93.6,1571,10.4,19.8,5849,38.6,73.8,510,3.4,6.4,4397,29,2337,15.4,294,1.9,183,1.2
Bronx,All Students,2008,4 year June,15599,7911,50.7,7442,47.7,94.1,1549,9.9,19.6,5893,37.8,74.5,469,3,5.9,4645,29.8,2445,15.7,364,2.3,217,1.4
Bronx,All Students,2007,4 year June,15987,8421,52.7,6933,43.4,82.3,1579,9.9,18.8,5354,33.5,63.6,1488,9.3,17.7,4372,27.3,2527,15.8,349,2.2,290,1.8
Bronx,All Students,2006,4 year June,15579,8524,54.7,6312,40.5,74,1558,10,18.3,4754,30.5,55.8,2212,14.2,26,3824,24.5,2402,15.4,411,2.6,407,2.6
Bronx,All Students,2005,4 year June,15175,8229,54.2,5618,37,68.3,1544,10.2,18.8,4074,26.8,49.5,2611,17.2,31.7,3943,26,2147,14.1,411,2.7,445,2.9
